Date,depth,WaterTemp_C,Water_DO_mg_per_L,Water_DOC_mg_per_L,Water_POC_mg_per_L
2020-01-01,0.25,4.420237331835634,12.167697807932518,2.9883933530495708,0.6416708794916216
2020-01-01,0.75,4.417700095700968,12.164543030769513,2.989008825016676,0.6389081075519929
2020-01-01,1.25,4.418981617279811,12.171385695053724,2.9893013414458576,0.6428469159355866
2020-01-01,1.75,4.417690834870648,12.176703376199866,2.9900662321107667,0.6453808822855691
2020-01-01,2.25,4.419907994251466,12.175029726199122,2.98994597941461,0.6482271775377685
2020-01-01,2.75,4.417513474383744,12.177608127377049,2.9904805777881474,0.6479956844352442
2020-01-01,3.25,4.4143931448675024,12.18099460588803,2.99114933965657,0.6460060825079216
2020-01-01,3.75,4.4103991773316835,12.182069863070135,2.9915568369853784,0.6453766987765945
2020-01-01,4.25,4.407297333016843,12.180268123876091,2.99180782097686,0.6473363909740745
2020-01-01,4.75,4.409187334832062,12.175773844720682,2.9921439798361544,0.6499522647852535
2020-01-01,5.25,4.407129894068735,12.179366655400065,2.9927222854119186,0.6514547346669494
2020-01-01,5.75,4.404158103832801,12.183563631571047,2.993670982067417,0.6529682377011025
2020-01-01,6.25,4.4027303975905685,12.186964083338621,2.9939896038445615,0.6540591670710084
2020-01-01,6.75,4.399997021555616,12.189277130932203,2.994730783084945,0.6496983285344472
2020-01-01,7.25,4.399426775615255,12.187107826039812,2.9947391948783983,0.6478662717352748
2020-01-01,7.75,4.398872372127487,12.18245736537556,2.9943627179601022,0.6470110687649241
2020-01-01,8.25,4.395458160881005,12.180897842592222,2.9945754638381437,0.6446349782784168
2020-01-01,8.75,4.39591654633759,12.177302911011425,2.9939042836039995,0.6446538560296201
2020-01-01,9.25,4.395673949879355,12.177348825084161,2.994201396992386,0.6438791604854651
2020-01-01,9.75,4.397097423605512,12.179418636919328,2.994632510952764,0.6462262023901693
2020-01-01,10.25,4.397787560342271,12.181970940058816,2.9951196080915206,0.6481655326787298
2020-01-01,10.75,4.396997988641345,12.184436676478485,2.995664325621075,0.6480126960005173
2020-01-01,11.25,4.3952101290005645,12.186902836183078,2.996284095549461,0.6467180309816648
2020-01-01,11.75,4.393553370312527,12.18619455808467,2.9966074409376873,0.649060078031379
2020-01-01,12.25,4.390312184770101,12.187539115888432,2.9971843047570474,0.6464944544042657
2020-01-01,12.75,4.386899607722987,12.191571437896812,2.998049865272844,0.6452809857592186
2020-01-01,13.25,4.384877955006979,12.196214400552309,2.998917789670809,0.6480538452603487
2020-01-01,13.75,4.384068566959252,12.199535242588956,2.999628727237299,0.6512683117961031
2020-01-01,14.25,4.384195918124464,12.198073043405982,2.9985561991406144,0.6489287555131568
2020-01-01,14.75,4.381022235263585,12.200104768604909,2.999041296758913,0.6490615197001285
2020-01-01,15.25,4.376446487159336,12.2023650618971,2.9996586019109226,0.6476756676422234
2020-01-01,15.75,4.378628106422604,12.197748892537115,2.9984284615132086,0.6463041806791114
2020-01-01,16.25,4.384147006761324,12.194454716949442,2.9981667089128377,0.6480814568305048
2020-01-01,16.75,4.3843249974584335,12.193981772520436,2.998353690861545,0.6481935940166247
2020-01-01,17.25,4.381455380260189,12.1966688176328,2.998933941648266,0.6483859829066653
