Date,sum_Longwave_Radiation_Downwelling_wattPerMeterSquared,sum_Precipitation_millimeterPerDay,TP_load_g_per_d,Shortwave_Wm2,AirTemp_C,median_Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Water_Secchi_m
2020-01-01,-1244.9050517166297,0.0,975.4260155277786,0.0,4.300000000000001,5.913,1.9413991137968325
2020-01-02,-1071.658967950627,0.0,981.5172650267973,0.0,4.5,6.291,1.9742235656199814
2020-01-03,-746.7007704618867,2.6999999999999997,987.608514525816,0.0,5.85,6.7661999999999995,1.9935604719884876
2020-01-04,-1484.4494938593482,3.6,993.6997640248346,0.0,3.3,8.2134,2.0037895450272503
2020-01-05,-989.5445997918722,0.0,999.7910135238533,0.0,4.949999999999999,4.914,2.0307401997381462
2020-01-06,-752.5971490488678,0.4,1005.8822630228719,0.0,6.4,5.1624,2.058565856024451
2020-01-07,-916.8098450696625,0.6000000000000001,1011.9735125218906,0.0,6.35,4.8708,2.0898052145076282
2020-01-08,-503.48554900137907,1.1,1018.0647620209093,0.0,7.5,6.803999999999999,2.1718312510123075
2020-01-09,-547.5981103841114,7.8,1024.156011519928,0.0,4.45,4.2822000000000005,2.2022700073335804
2020-01-10,-740.7788208301231,3.5000000000000004,1030.2472610189466,0.0,4.1,4.4064,2.2354610651156097
2020-01-11,-826.8107859184927,0.8,1036.3385105179652,0.0,6.15,9.012599999999999,2.25778196600154
2020-01-12,-569.9144344042512,7.4,1042.429760016984,0.0,7.0,4.8438,2.376471482524091
2020-01-13,-1130.8663506009627,0.1,1048.5210095160026,0.0,4.55,4.579199999999999,2.392353000510745
2020-01-14,-865.6533658591779,11.8,1054.6122590150212,0.0,7.1,8.569799999999999,2.406363661279937
2020-01-15,-323.0264423432076,10.0,1060.7035085140399,0.0,8.3,6.4746,2.612198028985005
2020-01-16,-1082.9869024567438,0.0,1066.7947580130585,0.0,6.1,6.7608,2.601061722137147
2020-01-17,-834.8259500311444,1.2000000000000002,1072.8860075120772,0.0,6.7,5.1894,2.597121196773294
2020-01-18,-870.452785784471,3.8,1078.9772570110958,0.0,4.75,5.8104,2.583917433699728
2020-01-19,-1434.2237673266225,0.0,1085.0685065101145,0.0,3.2,4.6656,2.5840953959136646
2020-01-20,-777.9687560762361,0.0,1091.1597560091332,0.0,6.0,5.832000000000001,2.5876111267672757
2020-01-21,-730.4137524049337,0.0,1097.2510055081518,0.0,6.15,7.1334,2.5873159706537763
2020-01-22,-1185.4978042583516,0.0,1103.3422550071705,0.0,5.2,5.5404,2.589441535823147
2020-01-23,-637.713363350277,0.1,1109.4335045061891,0.0,6.1,5.0868,2.6168638607779093
2020-01-24,-521.4572211535414,0.2,1115.5247540052078,0.0,5.9,5.0868,2.6473233936112734
2020-01-25,-563.1336108791802,0.30000000000000004,1121.6160035042265,0.0,5.7,4.1364,2.695351476036324
2020-01-26,-769.5186691205388,0.0,1127.7072530032451,0.0,4.9,5.0382,2.7378885184229658
2020-01-27,-609.0667799390743,1.0,1133.7985025022638,0.0,5.7,5.183999999999999,2.7810818548013936
2020-01-28,-1045.9605783638735,2.4,1139.8897520012824,0.0,4.4,5.292,2.8346888803672154
2020-01-29,-1370.4636311919073,0.6,1145.981001500301,0.0,4.35,5.815799999999999,2.882702585996621
2020-01-30,-832.6897927270131,12.8,1152.0722509993197,0.0,6.25,5.3892,2.9251243738768293
2020-01-31,-488.16673576922545,1.2000000000000002,1158.1635004983384,0.0,7.6,6.3882,2.9181725466307036
2020-02-01,-511.8189974381919,3.1,1161.1857081871526,0.0,8.350000000000001,8.359200000000001,2.953131204296132
2020-02-02,-1295.9489302502868,0.0,1160.8720008648754,0.0,4.4,5.772600000000001,3.022489322804458
2020-02-03,-882.6617099366185,3.4,1160.558293542598,0.0,4.45,3.2508,3.0301213365540853
2020-02-04,-1510.6987864456194,0.0,1160.2445862203208,0.0,2.3,5.561999999999999,3.032079101422698
2020-02-05,-1538.9634836302225,0.0,1159.9308788980434,0.0,4.3,5.756399999999999,3.017139157948894
2020-02-06,-733.1893546245503,0.0,1159.6171715757662,0.0,6.2,7.101000000000001,3.015065670006355
2020-02-07,-1011.2295727727419,0.0,1159.303464253489,0.0,4.8,2.8404000000000003,3.045363161547038
2020-02-08,-938.1844255803292,0.4,1158.9897569312116,0.0,4.3,5.3622,3.0671305478633766
2020-02-09,-486.16250037012196,25.6,1158.6760496089344,0.0,6.2,10.789200000000001,3.170338968936627
2020-02-10,-1139.5287398213623,3.3000000000000003,1158.362342286657,0.0,4.949999999999999,8.7048,3.6489766188431805
2020-02-11,-1393.1685000119446,2.7,1158.0486349643797,0.0,3.0,7.6248,3.5915769772526653
2020-02-12,-1426.2562603173515,2.9,1157.7349276421023,0.0,3.2,7.797599999999999,3.639154782428024
2020-02-13,-1425.3703402069518,2.0,1157.4212203198251,0.0,3.25,4.3956,3.554758716641137
2020-02-14,-1214.6050324986827,0.0,1157.107512997548,0.0,3.2,2.646,3.4317374910401837
2020-02-15,-367.0888327088094,6.800000000000001,1156.7938056752705,0.0,6.8,6.48,3.3145835393434915
2020-02-16,-129.64637774680426,21.6,1156.4800983529933,0.0,9.35,10.584,3.3050233116299244
2020-02-17,-1094.793540254584,1.5,1156.1663910307159,0.0,6.0,9.741599999999998,3.168837764262534
2020-02-18,-1113.6191404746978,2.1,1155.8526837084387,0.0,4.5,7.3278,3.0918546664643136
