ObservationsStedNr;ObservationsStedNavn;Startdato;Startklok;UndersøgelseNr;TekniskAnvisninganvendt;MålingNr;Parameter;Enhed;Resultat;ResultatAttribut;Kontrol;Kvalitet;Kvalitetsnote
"21000665";"Knud Å, Bens. Møllevad Bro";"19900822";"1200";"1";"True";"1";"Temperatur";"grader C";"18,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19900905";"1200";"1";"True";"1";"Temperatur";"grader C";"17,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19900919";"1200";"1";"True";"1";"Temperatur";"grader C";"15,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19901003";"1200";"1";"True";"1";"Temperatur";"grader C";"13";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19901031";"1200";"1";"True";"1";"Temperatur";"grader C";"9,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19901211";"1200";"1";"True";"1";"Temperatur";"grader C";"4,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910123";"1200";"1";"True";"1";"Temperatur";"grader C";"2,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910220";"1200";"1";"True";"1";"Temperatur";"grader C";"0,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910325";"1200";"1";"True";"1";"Temperatur";"grader C";"3,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910403";"1200";"1";"True";"1";"Temperatur";"grader C";"4,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910418";"1200";"1";"True";"1";"Temperatur";"grader C";"6,6";"=";"C, Faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910516";"1200";"1";"True";"1";"Temperatur";"grader C";"9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910529";"1200";"1";"True";"1";"Temperatur";"grader C";"13,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910627";"1200";"1";"True";"1";"Temperatur";"grader C";"15,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910710";"1200";"1";"True";"1";"Temperatur";"grader C";"18,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910724";"1200";"1";"True";"1";"Temperatur";"grader C";"19,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910820";"1200";"1";"True";"1";"Temperatur";"grader C";"17,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910910";"1200";"1";"True";"1";"Temperatur";"grader C";"16,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19910918";"1200";"1";"True";"1";"Temperatur";"grader C";"16,2";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19911003";"1200";"1";"True";"1";"Temperatur";"grader C";"12,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19911104";"1200";"1";"True";"1";"Temperatur";"grader C";"7,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19911126";"1200";"1";"True";"1";"Temperatur";"grader C";"6,2";"=";"D, FDC faglig kontrol";"Godkendt";""
