parameter,initial,calibrated
at_factor,1.0,0.6149785252954547
eps,0.97,0.7868406056808643
emissivity,0.97,1.1717923208182195
turb_factor,1.0,0.4834092069934749
sw_factor,1.0,1.1431825637084094
theta_r,1.1,1.005514339238775
theta_npp,1.1,0.8314973664653078
resp_docr,5.787037037037037e-08,3.2544095361059074e-08
resp_docl,1.1574074074074074e-06,8.463180344025802e-07
