Depth_meter,Area_meterSquared
0,1701791.0
1,1701791.0
2,1629976.0
3,1560177.0
4,1500084.0
5,1436102.0
6,1363113.0
7,1305539.0
8,1254485.0
9,1194167.0
10,1135765.0
11,1085562.0
12,1041045.0
13,1000237.0
14,958978.0
15,924819.0
16,890508.0
17,851303.0
18,817566.0
19,778615.0
20,739567.0
21,693311.0
22,644674.0
23,573960.0
24,501201.0
25,397650.0
26,281695.0
27,211194.0
28,158770.0
29,118178.0
30,81172.0
31,36874.0
32,12767.0
