variable,n,rmse_initial,rmse_calibrated,nse_initial,nse_calibrated,kge_initial,kge_calibrated,r2_initial,r2_calibrated
temp,1178,4.040967156220219,2.891574773629528,0.08022683963650579,0.529045505762763,0.5721364747074347,0.7017491507283615,0.5491059624625847,0.5467177001105227
o2,1170,1040483.7811812488,1053493.0617919315,0.8797612556769767,0.876735743129135,0.8356481112051211,0.8973482983665594,0.9185898330929624,0.8816616029639809
doc,1170,368223.89737645,288424.1256676275,0.6943697915312763,0.8124852192377405,0.8096678537686546,0.8833062169905103,0.8066169972633067,0.8502687479595876
